자치구,법정동코드,법정동
강남구,11680103,개포동
강남구,11680114,일원동
강남구,11680108,논현동
강남구,11680106,대치동
강남구,11680118,도곡동
강남구,11680105,삼성동
강남구,11680111,세곡동
강남구,11680112,자곡동
강남구,11680113,율현동
강남구,11680115,수서동
강남구,11680107,신사동
강남구,11680110,압구정동
강남구,11680101,역삼동
강남구,11680104,청담동
강동구,11740103,상일동
강동구,11740110,강일동
강동구,11740102,고덕동
강동구,11740105,길동
강동구,11740106,둔촌동
강동구,11740101,명일동
강동구,11740108,성내동
강동구,11740107,암사동
강동구,11740109,천호동
강북구,11305101,미아동
강북구,11305102,번동
강북구,11305103,수유동
강북구,11305104,우이동
강서구,11500104,가양동
강서구,11500105,마곡동
강서구,11500101,염창동
강서구,11500108,공항동
강서구,11500111,과해동
강서구,11500112,오곡동
강서구,11500113,오쇠동
강서구,11500102,등촌동
강서구,11500106,내발산동
강서구,11500107,외발산동
강서구,11500109,방화동
강서구,11500110,개화동
강서구,11500103,화곡동
관악구,11620101,봉천동
관악구,11620102,신림동
관악구,11620103,남현동
광진구,11215104,광장동
광진구,11215103,구의동
광진구,11215109,군자동
광진구,11215102,능동
광진구,11215105,자양동
광진구,11215101,중곡동
광진구,11215107,화양동
구로구,11530103,가리봉동
구로구,11530107,개봉동
구로구,11530106,고척동
구로구,11530102,구로동
구로구,11530109,궁동
구로구,11530110,온수동
구로구,11530101,신도림동
구로구,11530108,오류동
구로구,11530111,천왕동
구로구,11530112,항동
금천구,11545101,가산동
금천구,11545102,독산동
금천구,11545103,시흥동
노원구,11350103,공릉동
노원구,11350105,상계동
노원구,11350102,월계동
노원구,11350106,중계동
노원구,11350104,하계동
도봉구,11320108,도봉동
도봉구,11320106,방학동
도봉구,11320105,쌍문동
도봉구,11320107,창동
동대문구,11230105,답십리동
동대문구,11230101,신설동
동대문구,11230102,용두동
동대문구,11230110,이문동
동대문구,11230106,장안동
동대문구,11230104,전농동
동대문구,11230103,제기동
동대문구,11230107,청량리동
동대문구,11230108,회기동
동대문구,11230109,휘경동
동작구,11590101,노량진동
동작구,11590104,본동
동작구,11590108,대방동
동작구,11590107,사당동
동작구,11590106,동작동
동작구,11590102,상도동
동작구,11590103,상도1동
동작구,11590109,신대방동
동작구,11590105,흑석동
마포구,11440101,아현동
마포구,11440102,공덕동
마포구,11440103,신공덕동
마포구,11440104,도화동
마포구,11440108,대흥동
마포구,11440110,노고산동
마포구,11440111,신수동
마포구,11440107,마포동
마포구,11440123,망원동
마포구,11440127,상암동
마포구,11440114,창전동
마포구,11440115,상수동
마포구,11440116,하중동
마포구,11440117,신정동
마포구,11440118,당인동
마포구,11440120,서교동
마포구,11440121,동교동
마포구,11440125,성산동
마포구,11440126,중동
마포구,11440112,현석동
마포구,11440113,구수동
마포구,11440109,염리동
마포구,11440124,연남동
마포구,11440105,용강동
마포구,11440106,토정동
마포구,11440122,합정동
서대문구,11410120,남가좌동
서대문구,11410119,북가좌동
서대문구,11410110,북아현동
서대문구,11410112,대현동
서대문구,11410113,대신동
서대문구,11410114,신촌동
서대문구,11410115,봉원동
서대문구,11410116,창천동
서대문구,11410117,연희동
서대문구,11410105,냉천동
서대문구,11410106,천연동
서대문구,11410107,옥천동
서대문구,11410108,영천동
서대문구,11410109,현저동
서대문구,11410101,충정로2가
서대문구,11410102,충정로3가
서대문구,11410103,합동
서대문구,11410104,미근동
서대문구,11410118,홍은동
서대문구,11410111,홍제동
서초구,11650109,내곡동
서초구,11650110,염곡동
서초구,11650111,신원동
서초구,11650107,반포동
서초구,11650106,잠원동
서초구,11650101,방배동
서초구,11650108,서초동
서초구,11650102,양재동
서초구,11650103,우면동
서초구,11650104,원지동
성동구,11200109,금호동1가
성동구,11200110,금호동2가
성동구,11200111,금호동3가
성동구,11200112,금호동4가
성동구,11200105,마장동
성동구,11200106,사근동
성동구,11200107,행당동
성동구,11200114,성수동1가
성동구,11200115,성수동2가
성동구,11200118,송정동
성동구,11200113,옥수동
성동구,11200101,상왕십리동
성동구,11200102,하왕십리동
성동구,11200103,홍익동
성동구,11200104,도선동
성동구,11200122,용답동
성동구,11200108,응봉동
성북구,11290134,길음동
성북구,11290136,하월곡동
성북구,11290103,돈암동
성북구,11290109,동소문동6가
성북구,11290110,동소문동7가
성북구,11290116,동선동1가
성북구,11290117,동선동2가
성북구,11290118,동선동3가
성북구,11290119,동선동4가
성북구,11290120,동선동5가
성북구,11290126,보문동4가
성북구,11290127,보문동5가
성북구,11290128,보문동6가
성북구,11290129,보문동7가
성북구,11290130,보문동1가
성북구,11290131,보문동2가
성북구,11290132,보문동3가
성북구,11290105,동소문동2가
성북구,11290106,동소문동3가
성북구,11290108,동소문동5가
성북구,11290111,삼선동1가
성북구,11290112,삼선동2가
성북구,11290113,삼선동3가
성북구,11290114,삼선동4가
성북구,11290115,삼선동5가
성북구,11290139,석관동
성북구,11290101,성북동
성북구,11290102,성북동1가
성북구,11290104,동소문동1가
성북구,11290107,동소문동4가
성북구,11290121,안암동1가
성북구,11290122,안암동2가
성북구,11290123,안암동3가
성북구,11290124,안암동4가
성북구,11290125,안암동5가
성북구,11290137,상월곡동
성북구,11290138,장위동
성북구,11290133,정릉동
성북구,11290135,종암동
송파구,11710107,가락동
송파구,11710113,거여동
송파구,11710114,마천동
송파구,11710108,문정동
송파구,11710109,장지동
송파구,11710111,방이동
송파구,11710106,삼전동
송파구,11710105,석촌동
송파구,11710104,송파동
송파구,11710112,오금동
송파구,11710101,잠실동
송파구,11710102,신천동
송파구,11710103,풍납동
양천구,11470102,목동
양천구,11470103,신월동
양천구,11470101,신정동
영등포구,11560111,당산동1가
영등포구,11560112,당산동2가
영등포구,11560113,당산동3가
영등포구,11560114,당산동4가
영등포구,11560115,당산동5가
영등포구,11560116,당산동6가
영등포구,11560117,당산동
영등포구,11560133,대림동
영등포구,11560118,도림동
영등포구,11560119,문래동1가
영등포구,11560120,문래동2가
영등포구,11560121,문래동3가
영등포구,11560122,문래동4가
영등포구,11560123,문래동5가
영등포구,11560124,문래동6가
영등포구,11560132,신길동
영등포구,11560125,양평동1가
영등포구,11560126,양평동2가
영등포구,11560127,양평동3가
영등포구,11560128,양평동4가
영등포구,11560129,양평동5가
